;Марка;Цена без НДС, руб./км
11.01.2022;CONFLEX МКШВ 16х2х0,5;841986,5
11.01.2022;CONFLEX МКШВ 2х3х1,5;447272,11
11.01.2022;CONFLEX МКШВ 12х3х0,5;926887,18
11.01.2022;CONFLEX МКШВ 9х2,5;1014779,49
11.01.2022;CONFLEX МКШВ 14х1,0;689029,29
11.01.2022;CONFLEX МКШВнг(А)-LS 2х2х0,5;125740,26
11.01.2022;CONFLEX МКШВнг(А)-LS 5х0,5;143838,21
11.01.2022;CONFLEX МКШВнг(А)-LS 19х0,5;492312,96
11.01.2022;CONFLEX МКШВнг(А)-LS 24х0,5;617269,3
11.01.2022;CONFLEX МКШВнг(А)-LS 6х2х0,5;332978,4
11.01.2022;CONFLEX МКШВнг(А)-LS 16х2х0,5;854813,24
11.01.2022;CONFLEX МКШВнг(А)-LS 27х2х0,5;1419757,7
11.01.2022;CONFLEX МКШВнг(А)-LS 30х2х0,5;1570970,59
11.01.2022;CONFLEX МКШВнг(А)-LS 10х3х0,5;786280,68
11.01.2022;CONFLEX МКШВнг(А)-LS 16х3х0,5;1251797,64
11.01.2022;CONFLEX МКШВнг(А)-LS 2х3х0,5;175493,32
11.01.2022;CONFLEX МКШВнг(А)-LS 10х0,75;392787,54
11.01.2022;CONFLEX МКШВнг(А)-LS 10х2х2,5;2335257,82
11.01.2022;CONFLEX МКШВнг(А)-LS 10х3х0,75;1166015,75
11.01.2022;CONFLEX МКШВнг(А)-LS 10х3х1,5;2157261,2
11.01.2022;CONFLEX МКШВнг(А)-LS 10х3х2,5;3464333,32
11.01.2022;CONFLEX МКШВнг(А)-LS 12х1,0;599494,35
11.01.2022;CONFLEX МКШВнг(А)-LS 12х2х2,5;2789120,06
11.01.2022;CONFLEX МКШВнг(А)-LS 12х3х0,75;1390206,48
11.01.2022;CONFLEX МКШВнг(А)-LS 14х0,75;540188,06
11.01.2022;CONFLEX МКШВнг(А)-LS 14х1,5;987025,74
11.01.2022;CONFLEX МКШВнг(А)-LS 14х2,5;1588309,07
11.01.2022;CONFLEX МКШВнг(А)-LS 16х2х0,75;1254766,84
11.01.2022;CONFLEX МКШВнг(А)-LS 16х3х1,5;3437164,3
11.01.2022;CONFLEX МКШВнг(А)-LS 18х2х0,75;1414791,28
11.01.2022;CONFLEX МКШВнг(А)-LS 18х2х1,0;1833113,32
11.01.2022;CONFLEX МКШВнг(А)-LS 18х2х2,5;4188283,32
11.01.2022;CONFLEX МКШВнг(А)-LS 18х3х2,5;6232711,23
11.01.2022;CONFLEX МКШВнг(А)-LS 19х1,0;935222,69
11.01.2022;CONFLEX МКШВнг(А)-LS 19х1,5;1333896,58
11.01.2022;CONFLEX МКШВнг(А)-LS 24х3х0,75;2759502,56
11.01.2022;CONFLEX МКШВнг(А)-LS 27х2,5;3031696,36
11.01.2022;CONFLEX МКШВнг(А)-LS 27х2х2,5;6240451,31
11.01.2022;CONFLEX МКШВнг(А)-LS 2х2х0,75;177052,87
11.01.2022;CONFLEX МКШВнг(А)-LS 2х2х2,5;486190,04
11.01.2022;CONFLEX МКШВнг(А)-LS 2х3х1,5;449310,32
11.01.2022;CONFLEX МКШВнг(А)-LS 30х2х1,5;4300029,39
11.01.2022;CONFLEX МКШВнг(А)-LS 30х2х2,5;6921989,2
11.01.2022;CONFLEX МКШВнг(А)-LS 37х0,75;1381884,18
11.01.2022;CONFLEX МКШВнг(А)-LS 3х2х1,0;325793,04
11.01.2022;CONFLEX МКШВнг(А)-LS 3х3х2,5;1052642,2
11.01.2022;CONFLEX МКШВнг(А)-LS 4х1,0;214036,8
11.01.2022;CONFLEX МКШВнг(А)-LS 4х2х0,75;330701,88
11.01.2022;CONFLEX МКШВнг(А)-LS 5х1,5;364841,3
11.01.2022;CONFLEX МКШВнг(А)-LS 6х2х0,75;482695,73
11.01.2022;CONFLEX МКШВнг(А)-LS 6х2х1,0;622621,2
11.01.2022;CONFLEX МКШВнг(А)-LS 6х2х1,5;882622,42
11.01.2022;CONFLEX МКШВнг(А)-LS 6х3х0,75;703752,7
11.01.2022;CONFLEX МКШВнг(А)-LS 6х3х1,0;917768,8
11.01.2022;CONFLEX МКШВнг(А)-LS 7х1,0;355931,22
11.01.2022;CONFLEX МКШВнг(А)-LS 7х2х1,5;1022655,13
11.01.2022;CONFLEX МКШВнг(А)-LS 8х2х0,75;637630,58
11.01.2022;CONFLEX МКШВнг(А)-LS 8х2х1,0;831022,87
11.01.2022;CONFLEX МКШВнг(А)-LS 8х2х2,5;1878232,39
11.01.2022;CONFLEX МКШВнг(А)-LS 8х3х0,75;940097,26
11.01.2022;CONFLEX МКШВнг(А)-LS 9х0,75;355424,46
11.01.2022;CONFLEX МКШВнг(А)-LS 9х2,5;1023511,35
11.01.2022;CONFLEX МКШВнг(А)-LS 3х0,5;89087,11
11.01.2022;CONFLEX МКШВнг(А)-LS 4х0,5;114028,61
11.01.2022;CONFLEX МКШВнг(А)-LS 7х2х0,5;383860
11.01.2022;CONFLEX МКШВнг(А)-LS 37х2х0,5;1921912,71
